key,title,year,authors,RAYYAN-LABELS,status,population,exposure,control,outcome,Search,study location,system,remarks
rayyan-811288068,Differences in the activity pattern of the wild boar Sus scrofa related to human disturbance,2012,"Ohashi, H and Saito, M and Horie, R and Tsunoda, H and Noba, H and Ishii, H and Kuwabara, T and Hiroshige, Y and Koike, S and Hoshino, Y and Toda, H and Kaji, K",data,Included,wild boar,"hunting, human activity",-,diel activity patterns,,"Shingo and Himuro, in Tochigi, central Japan",,
rayyan-811288075,Paws without claws? Ecological effects of large carnivores in anthropogenic landscapes,2016,"Kuijper, DPJ and Sahlen, E and Elmhagen, B and Chamaille-Jammes, S and Sand, H and Lone, K and Cromsigt, JPGM",review,Included,,,,,,,,
rayyan-811288079,"Flight initiation distance as behavioral indicator of hunting pressure: a case study of the Sooty-headed Bulbul (Pycnonotus aurigaster) in Xishuangbanna, SW China",2015,"Sreekar, R and Goodale, E and Harrison, RD",data,Included,Sooty-headed bulbul,hunting pressure gradient,-,flight initiation distance,,"Xishuangbanna, Yunnan, SW China",,
rayyan-811288081,Food availability and foraging near human developments by black bears,2013,"Merkle, JA and Robinson, HS and Krausman, PR and Alaback, P",data,Included,American black bears,urban land,wildlands,foraging behaviour,,"Missoula, Montana",,
rayyan-811288083,Human habituation reduces hyrax flight initiation distance in Serengeti,2020,"Mbise, FP and Fredriksen, KE and Ranke, PS and Jackson, C and Fyumagwa, R and Holmern, T and Fossoy, F and Roskaft, E",data,Included,hyrax ,human presence,-,flight initiation distance,,Serengeti National Park,,
rayyan-811288087,Foraging and Calling Behavior of Carolina chickadees (Poecile carolinensis) in Response to the Head Orientation of Potential Predators,2016,"Freeberg, TM and Book, DL and Weiner, RL",data,Included,Carolina chickadees ,human observer,model cat ,"foraging, calling behaviour",,,,
rayyan-811288090,Impact of human nuisance disturbance on vigilance and group size of a social ungulate,2003,"Manor, R and Saltz, D",data,Included,moutain gazelle,human disturbance,-,"vigilance, social structure",,southern Israel,coastal,
rayyan-811288092,Foraging of gray squirrels on an urban-rural gradient: Use of the GUD to assess anthropogenic impact,1996,"Bowers, MA and Breland, B",data,Included,gray squirrels,urban,rural,giving up density,,,,
rayyan-811288093,Differential adult survival at close seabird colonies: The importance of spatial foraging segregation and bycatch risk during the breeding season,2018,"Genovart, M and Becares, J and Igual, JM and Martinez-Abrain, A and Escandell, R and Sanchez, A and Rodriguez, B and Arcos, JM and Oro, D",data,Included,Scopoli's shearwater,longline fisheries,-,"mortality, foraging movements, distribution",,,,
rayyan-811288094,Effects of levels of human exposure on flight initiation distance and distance to refuge in foraging eastern gray squirrels (Sciurus carolinensis),2011,"Engelhardt, SC and Weladji, RB",data,Included,eastern gray squirrel,human exposure,-,"flight initiation distance, distance to refuge",,,,
rayyan-811288098,Effects of human disturbance on the diet composition of wild red deer (Cervus elaphus),2011,"Jayakody, S and Sibbald, AM and Mayes, RW and Hooper, RJ and Gordon, IJ and Lambin, X",data,Included,red deer,disturbed area ,less disturbed area,diet composition,,Scottish highlands,,
rayyan-811288104,Evolutionary dynamics in the Anthropocene: Life history and intensity of human contact shape antipredator responses,2020,"Geffroy, B and Sadoul, B and Putman, BJ and Berger-Tal, O and Garamszegi, LZ and Moller, AP and Blumstein, DT",review,Included,,,,,,,,
rayyan-811288105,"Humans, but not their dogs, displace pumas from their kills: An experimental approach",2019,"Suraci, JP and Smith, JA and Clinchy, M and Zanette, L and Wilmers, CC",data,Maybe,puma,domestic dog playback,-,foraging behaviour,,central California,,
rayyan-811288106,Relating flight initiation distance in birds to tropical dry forest restoration,2018,"Osorio-Beristain, M and Rodriguez, A and Martinez-Garza, C and Alcala, RE",data,Included,tropical birds,human presence,-,flight initiation distance,,central Mexico,tropical dry forest,
rayyan-811288111,Inter-specific variation in avian responses to human disturbance,2005,"Blumstein, DT and Fernandez-Juricic, E and Zollner, PA and Garity, SC",concept,Included,,,,,,,,
rayyan-811288115,Recognizing the danger zone: response of female white-tailed to discrete hunting events,2018,"Sullivan, JD and Ditchkoff, SS and Collier, BA and Ruth, CR and Raglin, JB",data,Included,white-tailed deer,hunting,-,"diel patterns of use of feeders, food plots, and vulnerability zones",,,,
rayyan-811288120,Impact of human disturbance on temporal partitioning within carnivore communities,2022,"Seveque, A and Gentle, LK and Lopez-Bao, JV and Yarnell, RW and Uzal, A",review,Included,,,,,,,,
rayyan-811288121,Urban areas as refuges from predators and flight distance of prey,2012,"Moller, AP",data,Included,birds,urban,rural,flight intiation distance,,,,
rayyan-811288122,Ungulate flight responses to human disturbance: A review and meta-analysis,2008,"Stankowich, T  ",review,Included,,,,,,,,
rayyan-811288123,High human disturbance decreases individual variability in skink escape behavior,2020,"Williams, DM and Nguyen, PT and Chan, K and Krohn, M and Blumstein, DT",data,Included,skink,human presence,-,"flight initiation distance, distance fled",,,,
rayyan-811288126,Grizzly bear ungulate consumption and the relevance of prey size to caching and meat sharing,2014,"Cristescu, B and Stenhouse, GB and Boyce, MS",data,Included,grizzly bears,risk of detection by humans,risk of detection by other carnivores,food-caching behavior,,,,
rayyan-811288134,Evidence of effects of human disturbance on alert response in pere david's deer (Elaphurus davidianus),2007,"Li, C and Jiang, Z and Tang, S and Zeng, Y",data,Included,Pere David's deer,human activity,-,alert response,,"Dafeng Pere David's Deer Reserve, China",,
rayyan-811288138,When top predators become prey: Black bears alter movement behaviour in response to hunting pressure,2015,"Stillfried, M and Belant, JL and Svoboda, NJ and Beyer, DE and Kramer-Schadt, S",data,Included,black bear,hunting pressure,-,movement patterns,,,,
rayyan-811288141,"Indian mynahs, Acridotheres tristis, learn about dangerous places by observing the fate of others",2009,"Griffin, AS and Boyce, HM",data,Included,Indian mynah,location of aversive event (observation of human capture f mynah(,-,behaviour at feeding site,,,,
rayyan-811288147,Human disturbance influences behaviour and local density of juvenile frogs,2008,"Garner, TWJ and Nishimura, D and Antwi, J and Oliver, N",data,Included,Eastern African leaf litter frogs,human disturbance,-,"density, escape behaviour",,,,
rayyan-811288150,"Daytime activity budget of an alpine ungulate (Tatra chamois Rupicapra rupicapra tatrica): influence of herd size, sex, weather and human disturbance",2018,"Peksa, L and Ciach, M",data,Included,Tatra chamois,human distrubance,-,activity budget ,,,,
rayyan-811288159,An adaptive behavioural response to hunting: surviving male red deer shift habitat at the onset of the hunting season,2015,"Lone, K and Loe, LE and Meisingset, EL and Stamnes, I and Mysterud, A",data,Included,European red deer,hunting pressure,-,"habitat selection, survival",,,,
rayyan-811288162,Rural-Urban Differences in Escape Behavior of European Birds across a Latitudinal Gradient,2017,"Samia, DSM and Blumstein, DT and Diaz, M and Grim, T and Ibanez-Alamo, JD and Jokimaki, J and Tatte, K and Marko, G and Tryjanowski, P and Moller, AP",data,Included,32 species of birds,urban,rural,alert distance,,Europe,,
rayyan-811288163,"Deer on the lookout: how hunting, hiking and coyotes affect white-tailed deer vigilance",2017,"Schuttler, SG and Parsons, AW and Forrester, TD and Baker, MC and McShea, WJ and Costello, R and Kays, R",data,Included,white-tailed deer,human activity,coyotes (natural predator),vigilance,,,,
rayyan-811288168,Movement tortuosity and speed reveal the trade-offs of crop raiding for African elephants,2020,"Troup, G and Doran, B and Au, J and King, LE and Douglas-Hamilton, I and Heinsohn, R",data,Included,African elephants ,anthropogenic landscape,-,speed and turtuosity of crop-raiding elephants,,"Tsavo, Kenya",,
rayyan-811288169,Behavioural Differences between Single Scandinavian Brown Bears (Ursus arctos) and Females with Dependent Young When Experimentally Approached by Humans,2015,"Sahlen, V and Ordiz, A and Swenson, JE and Stoen, OG",data,Included,Scandinavian brown bear,approaching human,-,"flight initiation distance, flight distance",,Scandinavia,,
rayyan-811288173,Habitat selection by the black-tufted marmoset Callithrix penicillata in human-disturbed landscapes,2018,"Secco, H and Grilo, C and Bager, A",data,Included,black-tufted marmoset,human disturbance,-,habitat selection,,"southern Minas Gerais state, south-eastern Brazil",,
rayyan-811288174,Estimating global determinants of leopard home range size in a changing world,,"Rodriguez-Recio, M and Burgos, T and Krofel, M and Lozano, J and Moleon, M and Virgos, E",review,Included,,,,,,,,
rayyan-811288179,Behaviour of Solitary Adult Scandinavian Brown Bears (Ursus arctos) when Approached by Humans on Foot,2012,"Moen, GK and Stoen, OG and Sahlen, V and Swenson, JE",data,Included,Scandinavian brown bear,approaching human,-,"flight inititation distance, escape behaviour",,,,
rayyan-811288182,"Passerine reactions to human behaviour and vegetation structure in Peterborough, Canada",2011,"Campbell, MO",data,Included,passerine birds,approaching human,-,"alert distance, flight distance",,"Peterborough, Ontario, Canada",,
rayyan-811288184,Switching to Plan B: changes in the escape tactics of two grasshopper species (Acrididae: Orthoptera) in response to repeated predatory approaches,2014,"Bateman, PW and Fleming, PA",data,Included,2 grasshopper species (Schistocerca alutacea and Psinidia fenestralis),approaching human observer,-,"escape behaviour, flight initiation distance, flight direction",,,,
rayyan-811288187,Do variations in scanning behavior affect tolerance to human disturbance?,2003,"Fernandez-Juricic, E and Schroeder, N",data,Included,spot-winged pigeon and eared dove,approaching human,-,"alert distance, vigilance",,,,
rayyan-811288190,"Human disturbance of Bewick's Swans is reflected in giving-up net energy intake rate, but not in giving-up food density",2012,"Gyimesi, A and Franken, MS and Feige, N and Nolet, BA",data,Included,Bewick's swans,human disturbance,-,"Giving up density, giving up net energy intake rate",,,,
rayyan-811288192,Behavioral responses of blue sheep (Pseudois nayaur) to nonlethal human recreational disturbance,2013,"Jiang, TY and Wang, XM and Ding, YZ and Liu, ZS and Wang, ZH",data,Included,blue sheep,human activity,-,"vigilance, flight  ",,"Suyukou National Forest Park (SNFP), Helan Mountains, Yinchuan of Ningxia Hui Autonomous Region",,
rayyan-811288194,Ecotourism impacts on the behaviour of whale sharks: an experimental approach,2020,"Montero-Quintana, AN and Vazquez-Haikin, JA and Merkling, T and Blanchard, P and Osorio-Beristain, M",data,Included,whale shark,approaching vessel and swimmer,-,"vigilance, change of direction, diving and acceleration",,"Bahia de Los Angeles, Gulf of Baja California, Mexico",,
rayyan-811288196,Seasonal changes in the response of oystercatchers Haematopus ostralegus to human disturbance,2002,"Stillman, RA and Goss-Custard, JD",data,Included,oystercatchers,human disturbance,-,response to disturbance,,,,
rayyan-811288197,"Prey selection by sparrowhawks, Accipiter nisus: Relative predation risk for breeding passerine birds in relation to their size, ecology and behaviour",1996,"Gotmark, F and Post, P",data,Included,46 passerine bird species,proximity to human settlements,predation by sparrowhawk,relative predation risk,,,,
rayyan-811288200,Predation Risk and Opportunity Cost of Fleeing While Foraging on Plants Influence Escape Decisions of an Insular Lizard,2013,"Perez-Cembranos, A and Perez-Mellado, V and Cooper, WE",data,Included,Balearic lizard,human presence,-,"flight initiation distance, distance fled, opportunity cost of fleeing",,,,
rayyan-811288206,Tolerance of disturbance by humans in long-time resident and recent colonist urban doves,2015,"Gendall, J and Lill, A and Beckman, J",data,Included,"rock doves, spotted doves, crested pigeon",human disturbacne,-,"flight initiation distance, vigilance time during foraging",,"Melbourne, Australia",,
rayyan-811288214,Hourly movement decisions indicate how a large carnivore inhabits developed landscapes,2019,"Evans, MJ and Hawley, JE and Rego, PW and Rittenhouse, TAG",data,Included,American black bears,suburban area,exurban areas,movement decisions,,,,
rayyan-811288215,Quantifying human disturbance on antipredator behavior and flush initiation distance in yellow-bellied marmots,2011,"Li, CW and Monclus, R and Maul, TL and Jiang, ZG and Blumstein, DT",data,Included,yellow-bellied marmots,approaching human,-,"flight initiation distance, vigilance  ",,,,
rayyan-811288241,NO EVIDENCE FOR INDIVIDUAL ASSORTMENT BY TEMPERAMENT RELATIVE TO PATCH AREA OR PATCH OPENNESS IN THE BOBOLINK,2012,"Keyel, AC and Peck, DT and Reed, JM",data,Included,Bobolinks,approaching human observer,-,"starting distance, flight intiation distance, distance from the observers to where the birds landed",,,,
rayyan-811288247,Escape and its relationship to pursuit-deterrent signalling in the cuban curly-tailed lizard Leiocephalus carinatus,2007,"Cooper, WE",data,Included,cuban curly-tailed lizard ,approaching human,-,"flight initiation distance, distance fled, probability of entering refuge",,,,
rayyan-811288248,"Effects of human disturbance on movement, foraging and bed selection in red deer Cervus elaphus xanthopygus from the Wandashan Mountains, northeastern China",2007,"Jiang, GS and Zhang, MH and Ma, JZ",data,Included,red deer,human disturbance,-,"bed, foraging and movement site selection",,"Wandashan Mountains, northeastern China",,
rayyan-811288251,Modelling wildlife-human relationships for social species with mixed-effects resource selection models,2008,"Hebblewhite, M and Merrill, E",data,Included,wolves,high human activity area,low human activity area,resource selection function,,,,
rayyan-811288254,Collective Vigilance in the Wintering Hooded Crane: The Role of Flock Size and Anthropogenic Disturbances in a Human-Dominated Landscape,2016,"Li, CL and Beauchamp, G and Wang, Z and Cui, P",data,Included,hooded cran,human-dominated landscape,-,vigilance,,"Shengjin Lake reserve, China",,
rayyan-811288257,Does the gathering of shellfish affect the behavior of gastropod scavengers on sandy beaches? A field experiment,2015,"Garcia-Garcia, FJ and Reyes-Martinez, MJ and Ruiz-Delgado, MC and Sanchez-Moyano, JE and Casas, MC and Perez-Hurtado, A",data,Included,Cyclope neritea,human activity,-,"emersion, food locating",,European Atlantic coast,,
rayyan-811288260,Boat noise impacts risk assessment in a coral reef fish but effects depend on engine type,2018,"McCormick, MI and Allan, BJM and Harding, H and Simpson, SD",data,Maybe,juvelnile damselfish,motor boat noise,-,"behaviour, space use, escape response",,,,
rayyan-811288261,Variation in habitat selection by white-bearded wildebeest across different degrees of human disturbance,2016,"Stabach, JA and Wittemyer, G and Boone, RB and Reid, RS and Worden, JS",data,Included,white-bearded wildebeast,human disturbance,-,"space use, habitat selection",,Kenya,,
rayyan-811288264,"Tolerant to humans? Assessment of alert and flight initiation distances of two bird species in relation to sex, flock size, and environmental characteristics",2020,"Garcia-Arroyo, M and MacGregor-Fors, I",data,Included,"house sparrow, orange-breadted bunting",urbanization,-,"flght initiation distance, alert distance",,,,
rayyan-811288270,Towards an integrated view of escape decisions in birds: relation between flight initiation distance and distance fled,2018,"Tatte, K and Moller, AP and Mand, R",data,Included,17 bird species,urban,rural,"flight initiation distance, distance fled",,Estonia,,
rayyan-811288271,Human and the beast-Flight and aggressive responses of European bison to human disturbance,2018,"Haidt, A and Kaminski, T and Borowik, T and Kowalczyk, R",data,Included,European bison,human disturbance,-,"flight initiation distance, aggressive response",,Bialowieza Forest (NE Poland),,
rayyan-811288273,"Flight Initiation Distance in a Freshwater Turtle, Chrysemys picta",2016,"Polich, RL and Barazowski, M",data,Included,painted turtle,human presence,no human presence,flight initiation distance,,,,
rayyan-811288277,Lethal and nonlethal anthropogenic effects on spotted hyenas in the Masai Mara National Reserve,2010,"Pangle, WM and Holekamp, KE ",data,Included,spotted hyena,"human disturbance, cowbell playback",church bell sounds,vigilance,,the Masai Mara National Reserve Kenya,,
rayyan-811288284,Social information affects Canada goose alert and escape responses to vehicle approach: implications for animal-vehicle collisions,2019,"Blackwell, BF and Seamans, TW and DeVault, Tl and Lima, SL and Pfeiffer, MB and Fernandez-Juricic, E ",data,Included,Canada geese,approaching vehicle,-,"alert distance, flight initiation distance",,,,
rayyan-811288285,Do American Crows Pay Attention to Human Gaze and Facial Expressions?,2013,"Clucas, B and Marzluff, JM and Mackovjak, D and Palmquist, I",data,Included,American crows ,approaching human observer,-,"flight initiation distances, urgency of escape behavior",,,,
rayyan-811288287,"Observer effects in a remote population of large-headed capuchins, Sapajus macrocephalus",2022,"Metcalfe, CA and Yaicurima, AY and Papworth, S",data,Included,large-headed capuchins,human observer,-,"vigilance, feeding ",,"Pacaya-Samiria Nature Reserve, Peru",,
rayyan-811288288,Deer mice mediate red-backed vole behaviour and abundance along a gradient of habitat alteration,2010," Lemaitre, J and Fortin, D and Morris, DW and Darveau, M",data,Included,deer mice,human disturbance gradient,-,giving up density,,"Quebec, Canada",boreal forests,
rayyan-811288295,"SIGNS AT THE TOP: HABITAT FEATURES INFLUENCING SNOW LEOPARD UNCIA UNCIA ACTIVITY IN SAGARMATHA NATIONAL PARK, NEPAL",2009,"Wolf, M and Ale S",data,Included,snow leopard,human activity,-,spatial distribution,,"Sagarmatha National Park, Nepal",,
rayyan-811288301,The potential impact of tourism development on habitat availability and productivity of Malaysian plovers Charadrius peronii,2006,"Yasue, M and Dearden, P ",data,Included,Malaysian plover,human disturbance,-,"habitat selection, breeding success",,Gulf of Thailand,sandy tropical beach,
rayyan-811288308,"Perceived risk, displacement and refuging in brown bears: positive impacts of ecotourism?",2005,"Nevin, OT and Gilbert, BK",data,Included,brown bears,human activity,-,"space use, activity patterns",,British Columbia,coastal,
rayyan-811288309,Flight-initiation distance in birds is dependent on intruder starting distance,2003,"Blumstein, DT",data,Included,68 bird species,approaching human observer,-,"flight initiation distance, starting distance",,Australia,,
rayyan-811288312,Field evidence for pervasive indirect effects of fishing on prey foraging behavior,2010,"Madin, EMP and Gaines, SD and Warner, RR",data,Included,multiple fish prey species,gradient of fishing pressure,-,foraging patterns,,"northern Line Islands, Pacific",,
rayyan-811288318,"Temporal shifts in landscape connectivity for an ecosystem engineer, the roe deer, across a multiple-use landscape",2018,"Martin, J and Vourc'h, G and Bonnot, N and Cargnelutti, B and Chaval, Y and Lourtet, B and Goulard, M and Hoch, T and Plantard, O and Hewison, AJM and Morellet, N",data,Included,roe deer,human activity,-,"habitat use, movement patterns",,,,
rayyan-811288322,Determinants of vigilance in a reintroduced population of Pere David's deer,2013,"Zheng, W and Beauchamp, G and Jiang, XL and Li, ZQ and Yang, QL",data,Included,Pere David's deer,human disturbance,-,vigilance,,,,
rayyan-811288334,To run or to fly: low cost versus low risk escape strategies in blackbirds,2008,"Rodriguez-Prieto, I and Fernandez-Juricic, E and Martin, J",data,Included,blackbird,approaching human observer,-,"flight initiation distance, escpae strategy, distance fled",,,,
rayyan-811288336,Anthropogenic noise alters dwarf mongoose responses to heterospecific alarm calls,2017,"Morris-Drake, A and Bracken, AM and Kern, JM and Radford, AN",data,Included,dwarf mongoose,anthropogenic noise,"chacma baboon, tree squirrel and ambient noise playbacks","vigilance, fleeing behaviour",,,,
rayyan-811288339,Insights into short- and long-term crop-foraging strategies in a chacma baboon (Papio ursinus) from GPS and accelerometer data,2021,"Walton, BJ and Findlay, LJ and Hill, RA",data,Included,chacma baboons,commercial farms,-,crop-foraging,,South Africa,,
rayyan-811288344,Antipredator function of vigilance re-examined: vigilant birds delay escape,2019,"Tatte, K and Ibanez-Alamo, JD and Marko, G and Mand, R and Moller, AP",data,Included,wild birds,"human observer, urban","human observer, rural","vigilance, escape behaviour",,Europe,,
rayyan-811288355,"Ungulate distributions in a rangeland with competitors, predators and pastoralists",2016,"Schuette, P and Creel, S and Christianson, D",data,Included,ungulates,human disturbance,"African lion, hyaena","body morphology, foraging strategy",,Africa,rangeland,
rayyan-811288358,Fished species uniformly reduced escape behaviors in response to protection,2018,"Rhoades, OK and Lonhart, SI and Stachowicz, JJ",data,Included,marine fish,Marine Protected areas with varying levels of protection,-,"flight initiation distance, escape behaviour, foraging behaviour",,California,,
rayyan-811288367,"Social, behavioural and temporal components of wolf (Canis lupus) responses to anthropogenic landscape features in the central Apennines, Italy",2019,"Mancinelli, S and Falco, M and Boitani, L and Ciucci, P",data,Included,wolves,anthropogenic landscape features,-,avoidance and resource selection,,"central Apennines, Italy",,
rayyan-811288370,Spatiotemporal behavioral plasticity of wild boar (Sus scrofa) under contrasting conditions of human pressure: primeval forest and metropolitan area,2013,"Podgorski, T and Bas, G and Jedrzejewska, B and Sonnichsen, L and Sniezko, S and Jedrzejewski, W and Okarma, H",data,Included,wild boar,metropolitan area,primeaval forest,spatiotemporal behaviour,,Bialowieza (eastern Poland) and Cracow (Poland),,
rayyan-811288382,Increased Flight Initiation Distance (FID) in Golden Marmots (Marmota caudata aurea) Responding to Domestic Dogs in A Landscape of Human Disturbance,2019,"Zaman, M and Tolhurst, BA and Zhu, MY and Jiang, GS",data,Included,golden marmot,approaching human with dog,-,flight initiation distance,,"Karakoram range, Pakistan",,
rayyan-811288383,Responses of Natricine Snakes to Predatory Threat: A Mini-Review and Research Prospectus,2016,"Gregory, PT",review,Included,,,,,,,,
rayyan-811288391,Past agricultural land use affects multiple facets of ungulate antipredator behavior,2021,"Bartel, SL and Orrock, JL",data,Included,white-tailed deer,anthropogenic disturbance,-,"temporal avoidance, vigilance",,,,
rayyan-939273712,Hunting intensity alters movement behaviour of white-tailed deer,2016,"Little, AR and Webb, SL and Demarais, S and Gee, KL and Riffell, SK and Gaskamp, JA",data,Included,white-tailed deer,hunting risk,no risk,movement rate (spatial and temporal),,"Oklahoma, USA",,
rayyan-939273736,Effects of hunting with hounds on a non-target species living on the edge of a protected area,2011,"Grignolio, S and Merli, E and Bongi, P and Ciuti, S and Apollonio, M",data,Included,roe deer,hunting,protected area,space use,,,,
rayyan-939273755,Conservation and Anti-Predator Behavior,2009,"Frid, A and Heithaus, MR",review,Included,,,,,,,,
rayyan-939273760,Inducing fear using acoustic stimuli—A behavioral experiment on moose (Alces alces) in Sweden,2022,"Bhardwaj, M and Lodnert, D and Olsson, M and Winsvold, A and Eilertsen, SM and Kjellander, P and Seiler, A",data,Included,moose,hunting-related playback,nonpredatory playback and no sound,"time spnet vigilant, feeding and away from site, fleeing probability",,Sweden,,
rayyan-939273788,Flight behavioural responses to sport hunting by two African herbivores,2014,"Tarakini, T and Crosmary, W-G and Fritz, H and Mundy, P",data,Included,"impala, greater kudu ",hunting area ,protected area,"flight initiation distance, flight response",,"Gwaai and Hwange National Park, Zimbabwe",,
rayyan-939273798,Intensive hunting changes human-wildlife relationships,2022,"Parsons, AW and Wikelski, M and von Wolff, BK and Dodel, J and Kays, R",data,Included,mammals,varying disturbance levels,-,"spatial and temporal avoidance, abundance",,"southern Germany, southeastern USA",,
rayyan-939273820,The influence of hunting on antipredator behavior in Central African monkeys and duikers,2007,"Croes, BM and Laurance, WF and Lahm, SA and Tchignoumba, L and Alonso, A and Lee, ME and Campbell, P and Buij, R",data,Included,"rain forest monkeys, duikers",human observer in an area where hunting is prohibited,human observer in an area with hunting,"antipredator response, fleeing behaviour",,southwestern Gabon,,
rayyan-939273830,Individual responses to novel predation risk and the emergence of a landscape of fear,2020,"Perry, TA and Laforge, MP and Vander Wal, E and Knight, TW and McLoughlin, PD",data,Included,moose,hunting,-,habitat selection,,,,
rayyan-939273834,"Behavior of wild animals against humans in reservations, sanctuaries, and hunted areas - review and theoretical approach",2009,"Scheibe, KS",review,Included,,,,,,,,
rayyan-939273841,Nonconsumptive effects of hunting on a nontarget game bird,2019,"Mohlman, JL and Gardner, RR and Parnell, IB and Wilhite, N.G and Martin, JA",data,Included,northern bobwhite,rabbit hunting,before rabbit hunting,"movement patterns, avoidance",,,,
rayyan-939273855,Effects of hunting on wild boar Sus scrofa behaviour,2013,"Thurfjell, H and Spong, G and Ericsson, G",data,Included,wild boar,hunting,-,"space use, foragin behaviour",,,,
rayyan-939273871,Effect of Start of Hunting Season on Behaviour of Greylag Geese Anser anser,2016,"Adam, M and Podhrázský, M and Musil, P",data,Included,greylag geese  ,hunting,-,space use oosting-feeding flight distances,,south Bohemia (Czech Republic),,
rayyan-939273880,Behaviour of a large ungulate reflects temporal patterns of predation risk,2022,"Wiskirchen, KH and Jacobsen, TC and Ditchkoff, SS and Demarais, S and Gitzen, RA",data,Included,white-tailed deer,hunting,-,temporal activity patterns,,,,
rayyan-939273883,Impacts of human disturbance on flight response and habitat use of red deer,2022,"Meisingset, EL and Gusevik, J and Skjørestad, A and Brekkum, Ø and Mysterud, A and Rosell, F",data,Included,red deer,approaching human observer,-,"flight response, habitat use",,,,
rayyan-939273886,Do bears know they are being hunted?,2012,"Ordiz, A and Støen, O-G and Sæbø, S and Kindberg, J and Delibes, M and Swenson, JE",data,Included,brown bears,hunting,-,"movement patterns, diel activity patterns",,Scandinavia,,
rayyan-939273893,Feeding Association Between Harbour Porpoise (Phocoena phocoena) and Flyshoot Fishing,2022,"Molenaar, P and Vrooman, J",review,Included,,,,,,,,
rayyan-939273903,Spatiotemporal patterns of male and female white-tailed deer on a hunted landscape,2022,"Stewart, DG and Gulsby, WD and Ditchkoff, SS and Collier, BA",data,Included,white-tailed deer,hunting,-,sex-specific resource selection and diel activity patterns,,,,
rayyan-939273907,Hunting increases vigilance levels in roe deer and modifies feeding site selection,2008,"Benhaiem, S and Delon, M and Lourtet, B and Cargnelutti, B and Aulagnier, S and Hewison, AJM and Morellet, N and Verheyden, H",data,Included,roe deer,hunting season,not hunting season,vigilance at feeding sites,,,,
rayyan-939273912,Masking of the zeitgeber: African wild dogs mitigate persecution by balancing time,2012,"Rasmussen, GSA and Mac Donald DW",data,Included,African wild dog,high human presence,low human presence,diel activity patterns,,"Hwange and Nyamandlovu, Zimbabwe",,
rayyan-939274175,Mesopredators change temporal activity in response to a recolonizing apex predator,2019,"Shores, CR and Dellinger, JA and Newkirk, ES and Kachel, SM and Wirsing, AJ",data,Included,"coyotes, bobcats",human activity,gray wolf (apex predator),activity patterns ,,northwestern United States,,
rayyan-939274408,Behavioral responses to anthropogenic noise at highways vary across temporal scales,2022,"Collins, AC and Vickers, TW and Shilling, FM",data,Included,mule deer,anthropogenic noise,coyotes,"flight behaviour, foraging behaviour, vigilance",,"California, USA",,
rayyan-939275087,Vigilance Response of a Key Prey Species to Anthropogenic and Natural Threats in Detroit,2021,"Lima, SL and Gámez, S and Arringdale, N and Harris, NC",data,Included,cottontail rabbit,human activity and domestic dog activity,coyote activity (natural predator),"vigilance, space use",,"Detroit, Michigan",,
rayyan-939275426,Shifts in diel activity of Rocky Mountain mammal communities in response to anthropogenic disturbance and sympatric invasive white-tailed deer,2023,"Khan, P and Eliuk, L and Frey, S and Bone, C and Fisher, JT",data,Included,"ungulate species and predators (wolves, grizzly bears, and coyotes)",high human disturbance areas,low human disturbance areas ,diel activity patterns,,"Rocky Mountains, North America",nearctic system,
rayyan-939276848,"Trading fear for food in the Anthropocene: How ungulates cope with human disturbance in a multi-use, suburban ecosystem",2020,"Wevers, J and Fattebert, J and Casaer, J and Artois, T and Beenaerts, N",data,Included,"wild boar, roe deer",human presence  ,-,"diel activity patterns, space use",,,,
rayyan-939277505,Scavenging Opportunities Modulate Escape Responses over a Small Geographic Scale,2017,"Fleming, PA and Bateman, PW",data,Included,Silver gulls,approaching human,-,"alert distance, flight initiation distance",,,,
rayyan-939277947,Great tits take greater risk toward humans and sparrowhawks in urban habitats than in forests,2019,"Vincze, E and Pipoly, I and Seress, G and Preiszner, B and Papp, S and Nemeth, B and Liker, A and Bokony, V",data,Included,great tit,"urban, human presence","forest, sparrowhead (natural predator),",latency to return to nest,,,,
rayyan-939281873,Ecological factors shape quantitative decision-making in coyotes,,"Jordan, KE and Mahamane, S and Haynes, J and Young, JK",data,Included,coyote,presence of unfamiliar humans,presence of conspecifics ,foraging behaviour,,,,
rayyan-939273918,Optimal foraging of lions at the human wildlands interface,2023,"Everatt, KT and Kokes, R and Robinson, H and Kerley, GIH",data,Included,lions,human activity,-,feeding and spatial ecology,,"South Africa–Mozambique border, including parts of Kruger, Limpopo and Banhine National Parks",,
rayyan-939273920,Quiet islands in a world of fear: Wolves seek core zones of protected areas to escape human disturbance,2022,"Smith, AF and Ciuti, S and Shamovich, D and Fenchuk, V and Zimmermann, B and Heurich, M",data,Included,wolves,human disturbance,-,"space use, habitat selection",,Belovezhskaya Pushcha National Park (Belarus),,
rayyan-939273936,"Shark movement strategies influence poaching risk and can guide enforcement decisions in a large, remote marine protected area",2020,"Jacoby, DMP and Ferretti, F and Freeman, R and Carlisle, AB and Chapple, TK and Curnick, DJ and Dale, JJ and Schallert, RJ and Tickler, D and Block, BA",data,Included,sharks,marine protected area with illegal fishing,-,"movement patterns, space use",,British Indian Ocean Territory MPA,,
