"","Authors","Article.Title","Source.Title","Language","Document.Type","Keywords.Plus","Abstract","Publication.Year","DOI","Date.of.Export"
"172","Struyf, D; Zaman, J; Hermans, D; Vervliet, B","Gradients of fear: How perception influences fear generalization","BEHAVIOUR RESEARCH AND THERAPY","English","Article","CONDITIONED FEAR; ANXIETY DISORDER; STIMULUS-GENERALIZATION; PANIC DISORDER; DISCRIMINATION; OVERGENERALIZATION; METAANALYSIS; THRESHOLDS; MECHANISMS; INTENSITY","The current experiment investigated whether overgeneralization of fear could be due to an inability to perceptually discriminate the initial fear-evoking stimulus from similar stimuli, as fear learning-induced perceptual impairments have been reported but their influence on generalization gradients remain to be elucidated. Three hundred and sixty-eight healthy volunteers participated in a differential fear conditioning paradigm with circles of different sizes as conditioned stimuli (CS), of which one was paired to an aversive LAPS picture. During generalization, each subject was presented with one of 10 different sized circles including the CSs, and were asked to categorize the stimulus as either a CS or as novel after fear responses were recorded. Linear mixed models were used to investigate differences in fear generalization gradients depending on the participant's perception of the test stimulus. We found that the incorrect perception of a novel stimulus as the initial fear-evoking stimulus strongly boosted fear responses. The current findings demonstrate that a significant number of novel stimuli used to assess generalization are incorrectly identified as the initial fear-evoking stimulus, providing a perceptual account for the observed overgeneralization in panic and anxiety disorders. Accordingly, enhancing perceptual processing may be a promising treatment for targeting excessive fear generalization. (C) 2017 The Authors. Published by Elsevier Ltd.",2017,"10.1016/j.brat.2017.04.001","2022-03-23"
"173","Pickens, CL; Golden, SA; Adams-Deutsch, T; Nair, SG; Shaham, Y","Long-Lasting Incubation of Conditioned Fear in Rats","BIOLOGICAL PSYCHIATRY","English","Article","POSTTRAUMATIC-STRESS-DISORDER; CENTRAL AMYGDALA INJECTIONS; AGONIST LY379268 ATTENUATE; SIGNALING PATHWAY; ANXIETY; EXTINCTION; MEMORY; INHIBITION; CONTEXT; MODEL","Background: In 1937, Diven reported that human fear responses to cues previously paired with shock progressively increase or incubate over 24 hours. Since then, fear incubation has been demonstrated in both humans and nonhumans. However, the difficulty of demonstrating long-lasting fear incubation in rodents has hampered the study of the underlying mechanisms of this incubation. Here, we describe a rat procedure where fear reliably incubates over time. Methods: We trained food-restricted rats to lever-press for food pellets in daily 90-min sessions. We then gave each rat 100 30-sec tones co-terminating with a.5-sec.5-mA footshock over 10 days (10 pairings/day). Groups of rats (n = 10-15) were then given four presentations of the tone (the fear cue) 2, 15, 31, or 61 days after fear conditioning training and were assessed for conditioned suppression of lever-pressing. Results: We found that conditioned fear responses were significantly higher 31 and 61 days after fear training than after 2 or 15 days. In control experiments, we showed that extensive tone-shock pairing is necessary for the emergence of fear incubation and that it is unlikely that non-associative factors contribute to this incubation. Conclusions: We describe a procedure for generating reliable and long-lasting conditioned fear incubation. Our procedure can be used to study mechanisms of fear incubation and might provide a model for studying the mechanisms of delayed-onset posttraumatic stress disorder that occur in a sub-population of people previously exposed to chronic stressors.",2009,"10.1016/j.biopsych.2008.12.010","2022-03-23"
"174","Lonsdorf, TB; Weike, AI; Golkar, A; Schalling, M; Hamm, AO; Ohman, A","Amygdala-Dependent Fear Conditioning in Humans is Modulated by the BDNFval66met Polymorphism","BEHAVIORAL NEUROSCIENCE","English","Article","BDNF VAL66MET POLYMORPHISM; NEUROTROPHIC FACTOR; SKIN-CONDUCTANCE; HUMAN-MEMORY; BRAIN; CONSOLIDATION; HIPPOCAMPAL; EXTINCTION; AWARENESS; EMOTION","The brain-derived neurotrophic factor (BDNF) is critically involved in neuroplasticity, as well as the acquisition. consolidation, and retention of hippocampal- and amygdala-dependent learning. A common functional A -> G single nucleotide polymorphism (BDNFval66met) in the prodomain of the human BDNF gene is associated with abnormal intracellular trafficking and reduced activity-dependent BDNF release. We studied the effect of BDNFval66met in an aversive differential fear conditioning, and a delayed extinction paradigm in 57 healthy participants. Pictures of male faces were used as stimuli and fear learning was quantified by fear potentiated startle (FPS) and skin conductance responses (SCR). Aware BDNF met-carriers show a deficit in amygdala-dependent fear conditioning as indicated by an absence of FPS responses in the last acquisition block. This deficit was maintained in the first block of extinction. No genotype differences were found in conditioned SCR discrimination. These data provide evidence for the involvement of BDNF signaling in human amygdala-dependent learning. We suggest that the BDNF met-allele may have a protective effect for the development of affective pathologies that may be mediated via reduced synaptic plasticity induced by negative experience.",2010,"10.1037/a0018261","2022-03-23"
"175","Asok, A; Hijazi, J; Harvey, LR; Kosmidis, S; Kandel, ER; Rayman, JB","Sex Differences in Remote Contextual Fear Generalization in Mice","FRONTIERS IN BEHAVIORAL NEUROSCIENCE","English","Article","POSTTRAUMATIC-STRESS-DISORDER; CONJUNCTIVE REPRESENTATIONS; CONDITIONED FEAR; MEMORY; MECHANISMS; CONSOLIDATION; PREEXPOSURE; EXTINCTION; ACCOUNTS; DEFICIT","The generalization of fear is adaptive in that it allows an animal to respond appropriately to novel threats that are not identical to previous experiences. In contrast, the overgeneralization of fear is maladaptive and is a hallmark of post-traumatic stress disorder (PTSD), a psychiatric illness that is characterized by chronic symptomatology and a higher incidence in women compared to men. Therefore, understanding the neural basis of fear generalization at remote time-points in female animals is of particular translational relevance. However, our understanding of the neurobiology of fear generalization is largely restricted to studies employing male mice and focusing on recent time-points (i.e., within 24-48 h following conditioning). To address these limitations, we examined how male and female mice generalize contextual fear at remote time intervals (i.e., 3 weeks after conditioning). In agreement with earlier studies of fear generalization at proximal time-points, we find that the test order of training and generalization contexts is a critical determinant of generalization and context discrimination, particularly for female mice. However, tactile elements that are present during fear conditioning are more salient for male mice. Our study highlights long-term sex differences in defensive behavior between male and female mice and may provide insight into sex differences in the processing and retrieval of remote fear memory observed in humans.",2019,"10.3389/fnbeh.2019.00056","2022-03-23"
"176","Dudeck, BP; Clinchy, M; Allen, MC; Zanette, LY","Fear affects parental care, which predicts juvenile survival and exacerbates the total cost of fear on demography","ECOLOGY","English","Article","PREDATION RISK; CLUTCH SIZE; BIRDS; PREY; FOOD; REPRODUCTION; CARNIVORES; MORTALITY; PHENOLOGY; DYNAMICS","Fear itself (perceived predation risk) can affect wildlife demography, but the cumulative impact of fear on population dynamics is not well understood. Parental care is arguably what most distinguishes birds and mammals from other taxa, yet only one experiment on wildlife has tested fear effects on parental food provisioning and the repercussions this has for the survival of dependent offspring, and only during early-stage care. We tested the effect of fear on late-stage parental care of mobile dependent offspring, by locating radio-tagged Song Sparrow fledglings and broadcasting predator or non-predator playbacks in their vicinity, measuring their parent's behavior and their own, and tracking the offspring's survival to independence. Fear significantly reduced late-stage parental care, and parental fearfulness (as indexed by their reduction in provisioning when hearing predators) significantly predicted their offspring's condition and survival. Combining results from this experiment with that on early-stage care, we project that fear itself is powerful enough to reduce late-stage survival by 24%, and cumulatively reduce the number of young reaching independence by more than half, 53%. Experiments in invertebrate and aquatic systems demonstrate that fear is commonly as important as direct killing in affecting prey demography, and we suggest focusing more on fear effects and on offspring survival will reveal the same for wildlife.",2018,"10.1002/ecy.2050","2022-03-23"
"177","Luck, CC; Lipp, OV","Instructed extinction in human fear conditioning: History, recent developments, and future directions","AUSTRALIAN JOURNAL OF PSYCHOLOGY","English","Article","LONG-TERM OUTCOMES; ELECTRODERMAL RESPONSES; UNCONDITIONAL STIMULUS; AUTONOMIC INDEXES; REINSTATEMENT; PREPAREDNESS; RELEVANT; VALENCE; RELAPSE; GSR","Instructed extinction is an experimental manipulation that involves informing participants after the acquisition of fear learning that the unconditional stimulus (US) will no longer be presented. It has been used as a laboratory analogue to assess the capacity of cognitive interventions to reduce experimentally induced fear. In this review, we examine and integrate research on instructed extinction and discuss its implications for clinical practice. Overall, the results suggest that instructed extinction reduces conditional fear responding and facilitates extinction learning, except when conditional stimulus valence is assessed as an index of fear or when fear is conditioned to images of animal fear-relevant stimuli (snakes and spiders) or with a very intense US. These exceptions highlight potential boundary conditions for the reliance on cognitive interventions when treating fear in clinical settings.",2016,"10.1111/ajpy.12135","2022-03-23"
"178","Chalkia, A; Weermeijer, J; Van Oudenhove, L; Beckers, T","Acute but Not Permanent Effects of Propranolol on Fear Memory Expression in Humans","FRONTIERS IN HUMAN NEUROSCIENCE","English","Article","NORADRENERGIC BLOCKADE; CONDITIONED FEAR; TRIGGER RECONSOLIDATION; PROTEIN-SYNTHESIS; EXTINCTION; RETRIEVAL; AMNESIA; MECHANISMS; RESPONSES; AMYGDALA","Experimental evidence in humans and non-human animals suggests that the administration of propranolol shortly after the retrieval of an emotional memory can lead to an attenuation of its later expression, a phenomenon known as post-reactivation amnesia. Using more potent amnestic drugs, post-reactivation amnesia has been shown in animals to be reversible by re-administration of the drug prior to memory retention testing. The latter finding suggests that, at least under some circumstances, post-reactivation amnesia may not reflect a disruption of reconsolidation (i.e., a memory storage deficit) but an acquired state-dependency of memory expression (i.e., a memory retrieval deficit that is relieved when the drug state is recreated during testing). We conducted a double-blind, placebo-controlled study to investigate whether the previously established amnestic effects of post-reactivation propranolol administration on memory retention in humans may similarly reflect a retrieval deficit. In four groups of participants, fear memories were first established through differential fear conditioning. One day later, a single presentation of the CS+ without shock was used to reactivate the memory in three of the four groups, followed by the administration of 40 mg Propranolol HCl (Groups PrPI and PrPr) or placebo (Group PIPI). Memory was not reactivated in the fourth group (Group NR). Another 24 h later, Propranolol HCl (Group PrPr) or placebo (Groups PrPI, PIPI, and NR) was again administered, followed by a test of memory retention (extinction testing) and recovery (reinstatement testing). We did not observe any effects of post-reactivation propranolol on memory retention; conditioned responding was similar for all groups at the start of retention testing and similarly sensitive to recovery through reinstatement. We did observe an acute effect of propranolol administration on fear-potentiated startle responding during retention testing in Group PrPr, where participants exhibited attenuated startle responses during extinction testing but similar sensitivity to reinstatement as participants in the other groups. While our findings fail to corroborate previous reports of propranolol-induced post-reactivation amnesia in humans, they do point to acute effects of propranolol administration on extinction performance.",2019,"10.3389/fnhum.2019.00051","2022-03-23"
"179","Scheveneels, S; Boddez, Y; Hermans, D","Predicting clinical outcomes via human fear conditioning: A narrative review","BEHAVIOUR RESEARCH AND THERAPY","English","Review","COGNITIVE-BEHAVIORAL THERAPY; ANXIETY DISORDERS; EXTINCTION; ACQUISITION; AVOIDANCE; SYMPTOMS; VALIDITY; STRESS; TRAUMA; METAANALYSIS","A common assumption in human fear conditioning research is that findings are informative for the etiology and treatment of clinical anxiety. One way to empirically evaluate the external validity of fear conditioning is by prospective studies. We review available prospective research investigating whether individual performance in fear conditioning predicts individual differences in anxiety levels and exposure-based treatment outcome. We focus on fear extinction, generalization, acquisition, and avoidance. Results suggest that reduced extinction and broader generalization predict higher anxiety levels. Results with respect to the predictive value of acquisition for anxiety levels are mixed. With regard to predicting exposurebased treatment outcome, some studies do find an association with extinction whereas others do not. The majority of studies does not find an association with acquisition. Evidence on extinction recall is limited and not consistent. The interpretation of these results requires caution. The number of available studies is limited. It is possible that not all work, in particular studies with only null effects, has found its way to publication. Future research on this topic will benefit from large sample sizes, preregistered hypotheses, full transparency about the conducted analyses and the publication of high-quality studies with null effects.",2021,"10.1016/j.brat.2021.103870","2022-03-23"
"180","Kurayama, T; Nakazawa, K; Matsuzawa, D; Yoshida, S; Nanbu, M; Suto, C; Shimizu, E","Alterations of Auditory P50 Suppression in Human Fear Conditioning and Extinction","BIOLOGICAL PSYCHIATRY","English","Article","POSTTRAUMATIC-STRESS-DISORDER; POTENTIALLY PHOBIC STIMULI; PANIC DISORDER; SCHIZOPHRENIA; EXPRESSION; RESPONSES; DEFICITS; MANIPULATIONS; IMPAIRMENT; MECHANISMS","Background: Auditory P50 suppression, assessed by using a paired auditory stimulus (S1 and S2) paradigm to record P50 mid-latency evoked potential, is assumed to reflect sensory gating. Recently, P50 suppression deficits were found in patients with anxiety disorders, including panic disorder, obsessive compulsive disorder, and posttraumatic stress disorder. The processes of fear conditioning are thought to play roles in pathophysiology of anxiety disorders. Our aim was to investigate whether sensory gating would be physiologically altered by fear conditioning. Methods: To clarify the relationship between classical fear conditioning and the sensory gating mechanism, we measured changes of P50 and N100 suppression of 21 healthy volunteers in control (baseline) phase, in fear acquisition phase, and in fear extinction phase. Results: The mean P50 S2/S1 ratio in fear acquisition phase was significantly elevated in comparison with that in control phase, and it recovered into basal level in extinction phase. In contrast, the mean N100 S2/S1 ratio showed no changes through all phases from fear acquisition to extinction. Conclusions: These results suggest that the P50 but not N100 sensory gating mechanism might be physiologically associated with fear acquisition and extinction.",2009,"10.1016/j.biopsych.2008.09.011","2022-03-23"
"181","Cornwell, BR; Overstreet, C; Krimsky, M; Grillon, C","Passive avoidance is linked to impaired fear extinction in humans","LEARNING & MEMORY","English","Article","VIRTUAL-REALITY ENVIRONMENT; POTENTIATED STARTLE; ANXIETY DISORDERS; HUMAN HIPPOCAMPAL; EXPOSURE THERAPY; AWARENESS; CONTEXT; MECHANISMS; BEHAVIOR; THETA","Conventional wisdom dictates we must face our fears to conquer them. This idea is embodied in exposure-based treatments for anxiety disorders, where the intent of exposure is to reverse a history of avoidant behavior that is thought to fuel a patient's irrational fears. We tested in humans the relationship between fear and avoidance by combining Pavlovian differential fear conditioning with a novel task for quantifying spontaneous passive avoidant behavior. During self-guided navigation in virtual reality following de novo fear conditioning, we observed participants keeping their distance from the feared object. At the individual level, passive avoidant behavior was highly associated with maladaptive fear expression (fear-potentiated startle) during late extinction training, indicating that extinction learning was impaired following a brief episode of avoidance. Avoidant behavior, however, was not related to initial acquired fear, raising doubt about a straightforward link between physiological fear and behavioral avoidance. We conclude that a deeper understanding of what motivates avoidance may offer a target for early intervention, before fears transition from the rational to the irrational.",2013,"10.1101/lm.028902.112","2022-03-23"
"182","Trenado, C; Pedroarena-Leal, N; Cif, L; Nitsche, M; Ruge, D","Neural Oscillatory Correlates for Conditioning and Extinction of Fear","BIOMEDICINES","English","Review","NEURONAL OSCILLATIONS; GAMMA OSCILLATIONS; EEG ACTIVITY; AMYGDALA; CIRCUITS; SYNCHRONIZATION; CONNECTIVITY; DYNAMICS; HUMANS; CORTEX","The extinction of conditioned-fear represents a hallmark of current exposure therapies as it has been found to be impaired in people suffering from post-traumatic stress disorder (PTSD) and anxiety. A large body of knowledge focusing on psychophysiological animal and human studies suggests the involvement of key brain structures that interact via neural oscillations during the acquisition and extinction of fear. Consequently, neural oscillatory correlates of such mechanisms appear relevant regarding the development of novel therapeutic approaches to counterbalance abnormal activity in fear-related brain circuits, which, in turn, could alleviate fear and anxiety symptoms. Here, we provide an account of state-of-the-art neural oscillatory correlates for the conditioning and extinction of fear, and also deal with recent translational efforts aimed at fear extinction by neural oscillatory modulation.",2018,"10.3390/biomedicines6020049","2022-03-23"
"183","Hsieh, HT; Chang, CH","Activation of medial orbitofrontal cortex abolishes fear extinction and interferes with fear expression in rats","NEUROBIOLOGY OF LEARNING AND MEMORY","English","Article","PRELIMBIC CORTEX; ORBITAL CORTEX; LEARNED FEAR; MEMORY; CONSOLIDATION; HIPPOCAMPUS; PROJECTIONS; AMYGDALA; MECHANISMS; INACTIVATION","Pavlovian fear conditioning and extinction procedures have long been used to study the regulation of learned fear. The amygdala is vital for the association of cues and fear expression, whereas the medial prefrontal cortex (mPFC) is critical for fear regulation after extinction. The medial orbitofrontal cortex (mOFC) has an extensive connection with the fear circuit. In human studies, emotional regulation disorders, such as obsessive-compulsive disorder and post-traumatic stress disorder, are often linked to an abnormality in the orbitofrontal cortex (OFC). Therefore, in a series of experiments, we examined whether abnormal mOFC activities interfere with the regulation of learned fear. The mOFC of rats was pharmacologically activated with N-methyl-D-aspartate (NMDA) during the acquisition, early consolidation, or retrieval phase of fear extinction. Under mOFC activation, there was a general initial suppression of the fear response followed by the development of nonspecific fear expression. Moreover, pre-extinction activation of the mOFC abolished extinction acquisition, causing an up-shift in the fear response during the retrieval test. Nonetheless, immediate post-extinction activation of the mOFC did not interfere with extinction consolidation. Overall, our results suggested that mOFC activation abolished fear extinction acquisition and interfered with fear expression.",2020,"10.1016/j.nlm.2020.107170","2022-03-23"
"184","Goode, TD; Maren, S","Animal Models of Fear Relapse","ILAR JOURNAL","English","Article","POSTTRAUMATIC-STRESS-DISORDER; MEDIAL PREFRONTAL CORTEX; PROLONGED EXPOSURE THERAPY; MULTIPLE MEMORY-SYSTEMS; TERM POTENTIATION LTP; CONDITIONED FEAR; EXTINGUISHED FEAR; SPONTANEOUS-RECOVERY; SEX-DIFFERENCES; RETRIEVAL CUE","Whereas fear memories are rapidly acquired and enduring over time, extinction memories are slow to form and are susceptible to disruption. Consequently, behavioral therapies that involve extinction learning (e.g., exposure therapy) often produce only temporary suppression of fear and anxiety. This review focuses on the factors that are known to influence the relapse of extinguished fear. Several phenomena associated with the return of fear after extinction are discussed, including renewal, spontaneous recovery, reacquisition, and reinstatement. Additionally, this review describes recent work, which has focused on the role of psychological stress in the relapse of extinguished fear. Recent developments in behavioral and pharmacological research are examined in light of treatment of pathological fear in humans.",2014,"10.1093/ilar/ilu008","2022-03-23"
"185","Maa, EH; Arnold, J; Bush, CK","Epilepsy and the smell of fear","EPILEPSY & BEHAVIOR","English","Article","CHEMOSIGNALS; SEIZURES","Objective: In our canine scent detection research involving a specific volatile organic compound (VOC) associated with human epileptic seizure, we began to suspect involvement of the primitive neural networks associated with production of a previously undescribed human alarm pheromone as the origin of our seizure scent. We hypothesized that if we presented fear-scented sweat to our canine seizure scent detection team, and they identified the fear scent as their seizure scent, then that would suggest that they are identical compounds. Methods: Following consent and approval, sweat samples taken from volunteers associated with the Brooke Gordon Comprehensive Epilepsy Center at Denver Health were processed by the Canine Assistants (CA) service dog team that had been imprinted to recognize the unique seizure scent from our previous study. In part one, sweat samples were collected from subjects, who had no prior history of epilepsy or seizures, under two different testing environments: watching a scary movie (It) and a neutral/comedy movie (Airplane!). In part two, a larger follow-up study utilizing fear sweat, exercise sweat, epilepsy sweat, and other distractor scents were provided in a multiple choice paradigm to better understand the inter-rater reliability of the canine responses. Results: In part one, our canine seizure scent detection team identified fear-scented sweat samples as their seizure scent in 4 of 5 study participants. There was almost perfect agreement of seizure scent detection during fear scent trials between the canine seizure scent detectors with a kappa value of 0.814 (95% CI: 0.668-0.960). In part two, (utilizing eleven different subjects) our canine scent detection team identified samples of either fear or seizure sweat with a sensitivity of 82% and a specificity of 100% (no false positives) from among the multiple choices offered. Additionally, there was 92% agreement between the members of the canine scent detection team. Significance: While this hypothesis testing study is small and deserves replication, it confirms that the Canine Assistants seizure scent detection team consistently and accurately identified fear-scented sweat as their seizure scent, implying that the VOC, menthone, is common to both conditions. This further implies that human seizure propagation and fear network circuitry may share a common anatomy, and that menthone may not only be an early seizure biomarker, but a newly described human alarm pheromone. (c) 2021 The Authors. Published by Elsevier Inc. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/).",2021,"10.1016/j.yebeh.2021.108078","2022-03-23"
"186","Grillon, C; Cordova, J; Morgan, CA; Charney, DS; Davis, M","Effects of the beta-blocker propranolol on cued and contextual fear conditioning in humans","PSYCHOPHARMACOLOGY","English","Article","POTENTIATED STARTLE; MEMORY STORAGE; RETROGRADE-AMNESIA; EMOTIONAL EVENTS; PANIC DISORDER; AMYGDALA; ANXIETY; STRESS; NOREPINEPHRINE; INVOLVEMENT","Rationale: Beta-adrenergic receptors are involved in the consolidation of emotional memories. Yet, a number of studies using Pavlovian cued fear conditioning have been unable to demonstrate an effect of beta-adrenergic blockade on acquisition or retention of fear conditioning. Evidence for the involvement of beta-adrenergic receptors in emotional memories comes mostly from studies using fear inhibitory avoidance in rodents. It is possible that fear inhibitory avoidance is more akin to contextual conditioning than to cued fear conditioning, suggesting that context conditioning may be disrupted by beta-adrenergic blockade. Objective: This study investigated the effects of the beta-adrenergic blocker propranolol on cued and contextual fear conditioning in humans. Methods: Subjects were given either placebo (n=15) or 40 mg propranolol (n=15) prior to differential cued conditioning. A week later, they were tested for retention of context and cued fear conditioning using physiological (startle reflex and electrodermal activity) and subjective measures of emotional arousal. Results: The results were consistent with the hypothesis. The skin conductance level (SCL) and the subjective measure of arousal suggested reduced emotional arousal upon returning to the conditioning context in the propranolol group, compared to the placebo group. The acquisition and retention of cued fear conditioning were not affected by propranolol. Conclusions: These results suggest that beta-adrenergic receptors are involved in contextual fear conditioning.",2004,"10.1007/s00213-004-1819-5","2022-03-23"
"187","Thompson, A; Lipp, OV","Extinction during reconsolidation eliminates recovery of fear conditioned to fear-irrelevant and fear-relevant stimuli","BEHAVIOUR RESEARCH AND THERAPY","English","Article","POST-RETRIEVAL EXTINCTION; MEMORY RECONSOLIDATION; PREDICTION ERROR; AMYGDALA; RETURN; PROPRANOLOL; INTERFERENCE; REACTIVATION; DISRUPTION; MECHANISMS","Extant literature suggests that extinction training delivered during the memory reconsolidation period is superior to traditional extinction training in the reduction of fear recovery, as it targets the original fear memory trace. At present it is debated whether different types of fear memories are differentially sensitive to behavioral manipulations of reconsolidation. Here, we examined post-reconsolidation recovery of fear as a function of conditioned stimulus (CS) fear-relevance, using the unconditioned stimulus (US) to reactivate and destabilize conditioned fear memories. Participants (N = 56; 25 male; M = 24.39 years, SD = 7.71) in the US-reactivation and control group underwent differential fear conditioning to fear-relevant (spiders/snakes) and fear-irrelevant (geometric shapes) CSs on Day 1. On Day 2, participants received either reminded (US -reactivation) or non-reminded extinction training. Tests of fear recovery, conducted 24 h later, revealed recovery of differential electrodermal responding to both classes of CSs in the control group, but not in the US -reactivation group. These findings indicate that the US reactivation extinction procedure eliminated recovery of extinguished responding not only to fear-irrelevant, but also to fear-relevant CSs. Contrasting previous reports, our findings show that post-reconsolidation recovery of conditioned responding is not a function of CS fear-relevance and that persistent reduction of fear, conditioned to fear-relevant CSs, can be achieved through behavioral manipulations of reconsolidation. (C) 2017 Elsevier Ltd. All rights reserved.",2017,"10.1016/j.brat.2017.01.017","2022-03-23"
"188","Ahs, F; Kragel, PA; Zielinski, DJ; Brady, R; LaBar, KS","Medial prefrontal pathways for the contextual regulation of extinguished fear in humans","NEUROIMAGE","English","Article","POSTTRAUMATIC-STRESS-DISORDER; ANTERIOR CINGULATE CORTEX; CONDITIONED FEAR; EXTINCTION; AMYGDALA; HIPPOCAMPUS; RENEWAL; DORSAL; REINSTATEMENT; CONNECTIVITY","The maintenance of anxiety disorders is thought to depend, in part, on deficits in extinction memory, possibly due to reduced contextual control of extinction that leads to fear renewal. Animal studies suggest that the neural circuitry responsible fear renewal includes the hippocampus, amygdala, and dorsomedial (dmPFC) and ventromedial (vmPFC) prefrontal cortex. However, the neural mechanisms of context-dependent fear renewal in humans remain poorly understood. We used functional magnetic resonance imaging (fMRI), combined with psychophysiology and immersive virtual reality, to elucidate how the hippocampus, amygdala, and dmPFC and vmPFC interact to drive the context-dependent renewal of extinguished fear. Healthy human participants encountered dynamic fear-relevant conditioned stimuli (CSs) while navigating through 3-D virtual reality environments in the MRI scanner. Conditioning and extinction were performed in two different virtual contexts. Twenty-four hours later, participants were exposed to the CSs without reinforcement while navigating through both contexts in the MRI scanner. Participants showed enhanced skin conductance responses (SCRs) to the previously-reinforced CS + in the acquisition context on Day 2, consistent with fear renewal, and sustained responses in the dmPFC. In contrast, participants showed low SCRs to the CSs in the extinction context on Day 2, consistent with extinction recall, and enhanced vmPFC activation to the non-reinforced CS -. Structural equation modeling revealed that the dmPFC fully mediated the effect of the hippocampus on right amygdala activity during fear renewal, whereas the vmPFC partially mediated the effect of the hippocampus on right amygdala activity during extinction recall. These results indicate dissociable contextual influences of the hippocampus on prefrontal pathways, which, in turn, determine the level of reactivation of fear associations. (C) 2015 Elsevier Inc. All rights reserved.",2015,"10.1016/j.neuroimage.2015.07.051","2022-03-23"
"189","Gerdes, ABM; Uhl, G; Alpers, GW","Spiders are special: fear and disgust evoked by pictures of arthropods","EVOLUTION AND HUMAN BEHAVIOR","English","Article","RHESUS-MONKEYS; SNAKE FEAR; PHOBIAS; PREPAREDNESS; ANIMALS; VULNERABILITY; INFORMATION; POPULATION; AVOIDANCE; CHILDHOOD","Because all spiders are predators and most subdue their prey with poison, it has been suggested that fear of spiders is an evolutionary adaptation. However, it has not been sufficiently examined whether other arthropods similarly elicit fear or disgust. Our aim was to examine if all arthropods are rated similarly, if only potentially dangerous arthropods (spiders, bees/wasps) elicit comparable responses, or if spiders are rated in a unique way. We presented pictures of arthropods (15 spiders, 15 beetles, 15 bees/wasps, and 15 butterflies/moths) to 76 students who rated each picture for fear, disgust, and how dangerous they thought the animal is. They also categorized each animal into one of the four animal groups. In addition, we assessed the participants' fear of spiders and estimates for trait anxiety. The ratings showed that spiders elicit significantly greater fear and disgust than any other arthropod group, and spiders were rated as more dangerous. Fear and disgust ratings of spider pictures significantly predicted the questionnaire scores for fear of spiders, whereas dangerousness ratings of spiders and ratings of other arthropods do not provide any predictive power. Thus, spider fear is in fact spider specific. Our results demonstrate that potential harmfulness alone cannot explain why spiders are feared so frequently. (C) 2009 Elsevier Inc. All rights reserved.",2009,"10.1016/j.evolhumbehav.2008.08.005","2022-03-23"
"190","Salinas-Hernandez, XI; Duvarci, S","Dopamine in Fear Extinction","FRONTIERS IN SYNAPTIC NEUROSCIENCE","English","Review","AMYGDALA INHIBITORY CIRCUITS; MEDIAL PREFRONTAL CORTEX; CONDITIONED FEAR; BASOLATERAL AMYGDALA; NEURONAL CIRCUITS; LOCUS-COERULEUS; D2 RECEPTORS; D1 RECEPTOR; EXPRESSION; REWARD","The ability to extinguish fear memories when threats are no longer present is critical for adaptive behavior. Fear extinction represents a new learning process that eventually leads to the formation of extinction memories. Understanding the neural basis of fear extinction has considerable clinical significance as deficits in extinction learning are the hallmark of human anxiety disorders. In recent years, the dopamine (DA) system has emerged as one of the key regulators of fear extinction. In this review article, we highlight recent advances that have demonstrated the crucial role DA plays in mediating different phases of fear extinction. Emerging concepts and outstanding questions for future research are also discussed.",2021,"10.3389/fnsyn.2021.635879","2022-03-23"
"191","Jung, T; Noh, J","Alteration of fear behaviors in sleep-deprived adolescent rats: increased fear expression and delayed fear extinction","ANIMAL CELLS AND SYSTEMS","English","Article","DEPRIVATION","Disruption of sleep due to acute or chronic stress can lead to changes in emotional memory processing. Sleep disturbances are highly prevalent in post-traumatic stress disorder (PTSD), but still, the contribution of sleep deprivation on the susceptibility to PTSD has received little attention. To determine whether rapid eye movement sleep deprivation (SD) alters the development of fear expression or fear-associated memory impairment in adolescent rats, we performed animal emotional behavior tests using an SD animal model with the flowerpot technique. SD rats showed an increase in locomotor activity frequency and a decrease in sucrose consumption compared to control rats. An increase in freezing behavior during shock trials was observed in SD rats. Noticeably, it was observed that when applying the SD condition after fear stimuli exposure, fear extinction was delayed more in SD rats than in control rats. Overall, these results indicate that SD in adolescent rats leads to increased locomotor activity and anhedonic behavior, as well as increased fear expression and delayed fear extinction, suggesting that SD would lead to increased severity of PTSD-like phenotype.",2021,"10.1080/19768354.2021.1902854","2022-03-23"
"192","Ren, CR; Tao, Q","Neural Circuits Underlying Innate Fear","NEURAL CIRCUITS OF INNATE BEHAVIORS","English","Article; Book Chapter","SUPERIOR COLLICULUS; ELECTRICAL-STIMULATION; DEFENSIVE RESPONSES; SPATIAL-FREQUENCY; AMYGDALA; PATHWAY; TRIGGER; FACES; MOVEMENTS; MICE","Fear is defined as a fundamental emotion promptly arising in the context of threat and when danger is perceived. Fear can be innate or learned. Examples of innate fear include fears that are triggered by predators, pain, heights, rapidly approaching objects, and ancestral threats such as snakes and spiders. Animals and humans detect and respond more rapidly to threatening stimuli than to nonthreatening stimuli in the natural world. The threatening stimuli for most animals are predators, and most predators are themselves prey to other animals. Predatory avoidance is of crucial importance for survival of animals. Although humans are rarely affected by predators, we are constantly challenged by social threats such as a fearful or angry facial expression. This chapter will summarize the current knowledge on brain circuits processing innate fear responses to visual stimuli derived from studies conducted in mice and humans.",2020,"10.1007/978-981-15-7086-5_1","2022-03-23"
